Date,Brent Spot Price
1987-11-15,18.53
1988-11-15,14.91
1989-11-15,18.23
1990-11-15,23.76
1991-11-15,20.04
1992-11-15,19.32
1993-11-15,17.01
1994-11-15,15.86
1995-11-15,17.02
1996-11-15,20.64
1997-11-15,19.11
1998-11-15,12.76
1999-11-15,17.9
2000-11-15,28.66
2001-11-15,24.46
2002-11-15,24.99
2003-11-15,28.85
2004-11-15,38.26
2005-11-15,54.57
2006-11-15,65.16
2007-11-15,72.44
2008-11-15,96.94
2009-11-15,61.74
2010-11-15,79.61
2011-11-15,111.26
2012-11-15,111.63
2013-11-15,108.56
2014-11-15,98.97
2015-11-15,52.32
