Date,WTI Spot Price
1986-11-15,15.05
1987-11-15,19.2
1988-11-15,15.97
1989-11-15,19.64
1990-11-15,24.53
1991-11-15,21.54
1992-11-15,20.58
1993-11-15,18.43
1994-11-15,17.2
1995-11-15,18.43
1996-11-15,22.12
1997-11-15,20.61
1998-11-15,14.42
1999-11-15,19.34
2000-11-15,30.38
2001-11-15,25.98
2002-11-15,26.18
2003-11-15,31.08
2004-11-15,41.51
2005-11-15,56.64
2006-11-15,66.05
2007-11-15,72.34
2008-11-15,99.67
2009-11-15,61.95
2010-11-15,79.48
2011-11-15,94.88
2012-11-15,94.05
2013-11-15,97.98
2014-11-15,93.17
2015-11-15,48.66
